iata,airport_name,lat,long,currency_code,to_euro
HEA,Herat,34.210017,62.2283,AFN,0.01644
JAA,Jalalabad,34.399842,70.498625,AFN,0.01644
KBL,Kabul Intl,34.565853000000004,69.212328,AFN,0.01644
KDH,Kandahar,31.505755999999998,65.847822,AFN,0.01644
MMZ,Maimana,35.930789000000004,64.760917,AFN,0.01644
MZR,Mazar I Sharif,36.706914000000005,67.209678,AFN,0.01644
UND,Konduz,36.665110999999996,68.910833,AFN,0.01644
FBD,Faizabad Airport,37.1211,70.5181,AFN,0.01644
BPM,Bagram AFB,34.5646,69.1554,AFN,0.01644
TII,Tarin Kowt Airport,32.605278000000006,65.86416700000001,AFN,0.01644
ZAJ,Zaranj Airport,30.969167,61.866944,AFN,0.01644
CCN,Chaghcharan Airport,34.526666999999996,65.27166700000001,AFN,0.01644
KHT,FOB Salerno,33.3334,69.952,AFN,0.01644
AZ3,Sharona,33.1277215,68.8369847,AFN,0.01644
BST,Bost Airport,31.558889,64.36416700000001,AFN,0.01644
BIN,Bamyan Airport,34.816666999999995,67.81666700000001,AFN,0.01644
TIA,Tirana Rinas,41.414742,19.720561,ALL,0.007237
BJA,Soummam,36.711997,5.069922,DZD,0.009789
ALG,Houari Boumediene,36.691014,3.215408,DZD,0.009789
DJG,Tiska,24.292767,9.452444,DZD,0.009789
QFD,Boufarik,36.545834,2.876111,DZD,0.009789
VVZ,Illizi Takhamalt,26.723536,8.622653,DZD,0.009789
TMR,Tamanrasset,22.811460999999998,5.451075,DZD,0.009789
GJL,Jijel,36.795136,5.873608,DZD,0.009789
AAE,Annaba,36.822225,7.8091669999999995,DZD,0.009789
CZL,Mohamed Boudiaf Intl,36.276028000000004,6.620386,DZD,0.009789
TEE,Cheikh Larbi Tebessi,35.431611,8.120716999999999,DZD,0.009789
HRM,Hassi R Mel,32.930431,3.3115419999999998,DZD,0.009789
TID,Bou Chekif,35.341136,1.463147,DZD,0.009789
TIN,Tindouf,27.700371999999998,-8.167103,DZD,0.009789
QAS,Ech Cheliff,36.212658000000005,1.331775,DZD,0.009789
TAF,Tafaraoui,35.542444,-0.532278,DZD,0.009789
TLM,Zenata,35.016667,-1.45,DZD,0.009789
ORN,Es Senia,35.623858,-0.621183,DZD,0.009789
MUW,Ghriss,35.207725,0.147142,DZD,0.009789
AZR,Touat Cheikh Sidi Mohamed Belkebir,27.837589,-0.186414,DZD,0.009789
BSK,Biskra,34.793289,5.738231,DZD,0.009789
ELG,El Golea,30.571294,2.859586,DZD,0.009789
GHA,Noumerat,32.384106,3.794114,DZD,0.009789
HME,Oued Irara,31.672971999999998,6.1404440000000005,DZD,0.009789
INZ,In Salah,27.251022,2.5120169999999997,DZD,0.009789
TGR,Sidi Mahdi,33.067803000000005,6.088672,DZD,0.009789
LOO,Laghouat,33.764383,2.928344,DZD,0.009789
TMX,Timimoun,29.237119,0.276033,DZD,0.009789
OGX,Ouargla,31.917223,5.412778,DZD,0.009789
IAM,In Amenas,28.05155,9.642911,DZD,0.009789
ELU,Guemar Airport,33.5114,6.776789999999999,DZD,0.009789
BMW,Bordj Badji Mokhtar Airport,21.375,0.923889,DZD,0.009789
CBH,Béchar Boudghene Ben Ali Lotfi Airport,31.6457,-2.26986,DZD,0.009789
BLJ,Batna Airport,35.752106,6.308589,DZD,0.009789
QSF,Ain Arnat Airport,36.1781,5.32449,DZD,0.009789
QDJ,Tsletsi Airport,34.6657,3.3510000000000004,DZD,0.009789
PPG,Pago Pago Intl,-14.331,-170.7105,USD,0.9488
FTI,Fitiuta Airport,-14.216110999999998,-169.42361100000002,USD,0.9488
OFU,Ofu Airport,-14.184444000000001,-169.67,USD,0.9488
SSY,Mbanza Congo,-6.269897,14.247025,AOA,0.008944
BUG,Benguela,-12.609025,13.403711,AOA,0.008944
CAB,Cabinda,-5.596992,12.188353,AOA,0.008944
NOV,Huambo,-12.808878,15.760547,AOA,0.008944
SVP,Kuito,-12.404633,16.947414000000002,AOA,0.008944
LAD,Luanda 4 De Fevereiro,-8.858375,13.231178,AOA,0.008944
MEG,Malanje,-9.525086,16.312406,AOA,0.008944
SPP,Menongue,-14.657582999999999,17.719832999999998,AOA,0.008944
GXG,Negage,-7.754506,15.287728,AOA,0.008944
PBN,Porto Amboim,-10.721956,13.765528,AOA,0.008944
VHC,Saurimo,-9.689067,20.431875,AOA,0.008944
SZA,Soyo,-6.1410860000000005,12.371764,AOA,0.008944
SDD,Lubango,-14.924732999999998,13.575022,AOA,0.008944
LUO,Luena,-11.768086,19.897672,AOA,0.008944
UGO,Uige,-7.603067,15.027822,AOA,0.008944
XGN,Xangongo,-16.755417,14.965344,AOA,0.008944
MSZ,Namibe Airport,-15.261222,12.146756,AOA,0.008944
VPE,Ondjiva Pereira Airport,-17.043464,15.683822,AOA,0.008944
DUE,Dundo Airport,-7.4008899999999995,20.8185,AOA,0.008944
CBT,Catumbela Airport,-12.4792,13.4869,AOA,0.008944
LBZ,Lucapa Airport,-8.443056,20.732222,AOA,0.008944
KNP,Kapanda Airport,-9.771944,15.456110999999998,AOA,0.008944
AXA,Wallblake,18.204833999999998,-63.055083999999994,XCD,0.353
ANU,V C Bird Intl,17.136749,-61.792667,XCD,0.353
BBQ,Codrington Airport,17.6358,-61.8286,XCD,0.353
